Item Name,Base,Protein,Sauce,Spice Level,Price,Is_Vegan,Is_Vegetarian,Description
"Waffle Fries with Paneer Topping, Afghani Butter (Level 1)",Waffle Fries,Paneer,Afghani Butter,Level 1,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with paneer cubes, soft and lightly spiced.. Finished with Afghani Butter sauce—a rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious. Spice Level: Level 1. Vegetarian."
"Waffle Fries with Paneer Topping, Afghani Butter (Level 2)",Waffle Fries,Paneer,Afghani Butter,Level 2,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with paneer cubes, soft and lightly spiced.. Finished with Afghani Butter sauce—a rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious. Spice Level: Level 2. Vegetarian."
"Waffle Fries with Paneer Topping, Afghani Butter (Level 3)",Waffle Fries,Paneer,Afghani Butter,Level 3,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with paneer cubes, soft and lightly spiced.. Finished with Afghani Butter sauce—a rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious. Spice Level: Level 3. Vegetarian."
"Waffle Fries with Paneer Topping, Afghani Butter (Level 4)",Waffle Fries,Paneer,Afghani Butter,Level 4,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with paneer cubes, soft and lightly spiced.. Finished with Afghani Butter sauce—a rich tomato-cream gravy spiced with garam masala and finished with butter. Mild and luxurious. Spice Level: Level 4. Vegetarian."
"Waffle Fries with Paneer Topping, Pindi (Level 1)",Waffle Fries,Paneer,Pindi,Level 1,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with paneer cubes, soft and lightly spiced.. Finished with Pindi sauce—a tangy, spiced chickpea masala, earthy and robust. Vegan, medium heat. Spice Level: Level 1. Vegetarian."
"Waffle Fries with Paneer Topping, Pindi (Level 2)",Waffle Fries,Paneer,Pindi,Level 2,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with paneer cubes, soft and lightly spiced.. Finished with Pindi sauce—a tangy, spiced chickpea masala, earthy and robust. Vegan, medium heat. Spice Level: Level 2. Vegetarian."
"Waffle Fries with Paneer Topping, Pindi (Level 3)",Waffle Fries,Paneer,Pindi,Level 3,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with paneer cubes, soft and lightly spiced.. Finished with Pindi sauce—a tangy, spiced chickpea masala, earthy and robust. Vegan, medium heat. Spice Level: Level 3. Vegetarian."
"Waffle Fries with Paneer Topping, Pindi (Level 4)",Waffle Fries,Paneer,Pindi,Level 4,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with paneer cubes, soft and lightly spiced.. Finished with Pindi sauce—a tangy, spiced chickpea masala, earthy and robust. Vegan, medium heat. Spice Level: Level 4. Vegetarian."
"Waffle Fries with Paneer Topping, Tandoori (Level 1)",Waffle Fries,Paneer,Tandoori,Level 1,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with paneer cubes, soft and lightly spiced.. Finished with Tandoori sauce—a smoky yogurt-marinade, classic Indian spices, and aromatic depth. Medium heat. Spice Level: Level 1. Vegetarian."
"Waffle Fries with Paneer Topping, Tandoori (Level 2)",Waffle Fries,Paneer,Tandoori,Level 2,14.99,No,Yes,"Golden waffle fries, crispy on the outside and fluffy inside. Loaded with paneer cubes, soft and lightly spiced.. Finished with Tandoori sauce—a smoky yogurt-marinade, classic Indian spices, and aromatic depth. Medium heat. Spice Level: Level 2. Vegetarian."
